danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.694,0.222,-17.191,0.961,0.52,0.0,0.307,0.47,137.813,42ER7hHhauiPPIKx6GFNjT,193128,4.0
0.719,0.203,-17.156,0.957,0.538,0.0,0.242,0.54,122.193,09rPIOM0oCPpEMkZT2Y23k,186796,3.0
0.248,0.643,-9.56,0.0374,0.00626,0.0,0.0811,0.463,84.861,04YfhVNDhsSwil4EIE4Jlo,120092,4.0
0.717,0.255,-18.844,0.948,0.448,0.0,0.297,0.358,114.878,256zMpi8WHqd2pdtfE8sMI,902719,4.0
0.623,0.215,-18.587,0.955,0.582,0.0,0.131,0.464,81.098,0Rb2ssjApkfDC3xy2HctAI,234820,3.0
0.237,0.642,-9.552,0.0411,0.00718,0.0,0.0956,0.466,169.43,3r0ciwhwtwOz1evfSruCXn,120092,1.0
0.372,0.258,-18.636,0.0345,0.872,0.931,0.211,0.323,107.437,0sGhz5vUP2yvWQEZAckcPL,302040,1.0
0.365,0.257,-18.635,0.0344,0.873,0.938,0.21,0.326,107.277,4lM7SOQH1YUsFIHCQYu79S,302040,3.0
0.779,0.673,-10.686,0.275,0.0334,0.000142,0.0471,0.966,91.993,0nznTkBjTtAF1HAn2rfXhw,200594,2.0
0.578,0.221,-18.473,0.0356,0.972,0.916,0.0592,0.862,118.901,0hDuUrWKP6ZRyuqC77fgAr,192000,0.0
0.36,0.934,-12.15,0.0411,0.83,0.911,0.788,0.0399,89.511,1ztHox7pRQmH9O57N03xn2,141061,1.0
0.372,0.258,-18.636,0.0345,0.872,0.931,0.211,0.323,107.437,2v3Tajonx1NhghdRZ03suk,302040,2.0
0.441,0.15,-17.145,0.0324,0.974,0.94,0.13,0.507,165.262,6Q8yz7XATF9StLhaE6oaNB,287000,2.0
